[MultiComm] Loading library from /home/why/LongLiu_rebuild/multi_comm_slo/build/libmulti_comm.so
[MultiComm] Rank 0: initializing 7 priorities across 1 devices
[MultiComm] Rank 0: waiting for TCP connections on port 29510...
[MultiComm] Rank 0: sent 7 IDs to rank 1
[MultiComm] Rank 0: created communicator for priority P0 (DSCP=0)
[MultiComm] Rank 0: created communicator for priority P1 (DSCP=8)
[MultiComm] Rank 0: created communicator for priority P2 (DSCP=16)
[MultiComm] Rank 0: created communicator for priority P3 (DSCP=24)
[MultiComm] Rank 0: created communicator for priority P4 (DSCP=32)
[MultiComm] Rank 0: created communicator for priority P5 (DSCP=40)
[MultiComm] Rank 0: created communicator for priority P6 (DSCP=48)
[MultiComm] Rank 0: initialization complete, starting at P6 (DSCP=48)
[MultiComm] Initialized: rank=0, world_size=2, master=192.10.10.110:29510, priority=P3
[Job1-CRUX] MODE=crux, Payload=2048MB, sleep=30000us, SLO c_i=1.2
[Job1-CRUX] Static Priority: P3 (DSCP=24)
[Job1-CRUX] GPU Intensity I_1 = 30ms / ~85ms ≈ 0.35
[Job1-CRUX] NOTE: Both jobs use P4 (same priority) for MultiComm compatibility
[Job1-CRUX] CRUX cannot dynamically prioritize Job1's strict SLO!
[Job1-CRUX] 300 iters, 20/epoch, 15 epochs
[Job1-CRUX] iter 95 (epoch 4, iter 15): comm=440.1ms, bw=19.52 Gbps [solo_rampup]
[Job1-CRUX] iter 96 (epoch 4, iter 16): comm=428.1ms, bw=20.06 Gbps [solo_rampup]
[Job1-CRUX] iter 97 (epoch 4, iter 17): comm=422.5ms, bw=20.33 Gbps [solo_rampup]
[Job1-CRUX] iter 98 (epoch 4, iter 18): comm=412.6ms, bw=20.82 Gbps [solo_rampup]
[Job1-CRUX] iter 99 (epoch 4, iter 19): comm=419.4ms, bw=20.48 Gbps [solo_rampup]
[Job1-CRUX] iter 100 (epoch 5, iter 0): comm=407.8ms, bw=21.06 Gbps [contested]
[Job1-CRUX] iter 101 (epoch 5, iter 1): comm=424.8ms, bw=20.22 Gbps [contested]
[Job1-CRUX] iter 102 (epoch 5, iter 2): comm=423.9ms, bw=20.27 Gbps [contested]
[Job1-CRUX] iter 103 (epoch 5, iter 3): comm=409.7ms, bw=20.97 Gbps [contested]
[Job1-CRUX] iter 104 (epoch 5, iter 4): comm=423.4ms, bw=20.29 Gbps [contested]
[Job1-CRUX] iter 105 (epoch 5, iter 5): comm=439.6ms, bw=19.54 Gbps [contested]
[Job1-CRUX] iter 106 (epoch 5, iter 6): comm=429.2ms, bw=20.01 Gbps [contested]
[Job1-CRUX] iter 107 (epoch 5, iter 7): comm=415.7ms, bw=20.66 Gbps [contested]
[Job1-CRUX] iter 108 (epoch 5, iter 8): comm=405.2ms, bw=21.20 Gbps [contested]
[Job1-CRUX] iter 109 (epoch 5, iter 9): comm=431.3ms, bw=19.92 Gbps [contested]
[Job1-CRUX] iter 110 (epoch 5, iter 10): comm=424.1ms, bw=20.26 Gbps [contested]
[Job1-CRUX] iter 111 (epoch 5, iter 11): comm=414.2ms, bw=20.74 Gbps [contested]
[Job1-CRUX] iter 112 (epoch 5, iter 12): comm=423.1ms, bw=20.30 Gbps [contested]
[Job1-CRUX] iter 113 (epoch 5, iter 13): comm=419.9ms, bw=20.45 Gbps [contested]
[Job1-CRUX] iter 114 (epoch 5, iter 14): comm=435.0ms, bw=19.75 Gbps [contested]
[Job1-CRUX] iter 115 (epoch 5, iter 15): comm=433.3ms, bw=19.82 Gbps [contested]
[Job1-CRUX] iter 116 (epoch 5, iter 16): comm=418.3ms, bw=20.54 Gbps [contested]
[Job1-CRUX] iter 117 (epoch 5, iter 17): comm=427.4ms, bw=20.10 Gbps [contested]
[Job1-CRUX] iter 118 (epoch 5, iter 18): comm=427.3ms, bw=20.10 Gbps [contested]
[Job1-CRUX] iter 119 (epoch 5, iter 19): comm=424.4ms, bw=20.24 Gbps [contested]
[Job1-CRUX] iter 120 (epoch 6, iter 0): comm=423.5ms, bw=20.28 Gbps [contested]
[Job1-CRUX] iter 121 (epoch 6, iter 1): comm=426.6ms, bw=20.14 Gbps [contested]
[Job1-CRUX] iter 122 (epoch 6, iter 2): comm=420.1ms, bw=20.45 Gbps [contested]
[Job1-CRUX] iter 123 (epoch 6, iter 3): comm=412.4ms, bw=20.83 Gbps [contested]
[Job1-CRUX] iter 124 (epoch 6, iter 4): comm=418.2ms, bw=20.54 Gbps [contested]
[Job1-CRUX] iter 125 (epoch 6, iter 5): comm=420.6ms, bw=20.42 Gbps [contested]
[Job1-CRUX] iter 126 (epoch 6, iter 6): comm=418.5ms, bw=20.53 Gbps [contested]
[Job1-CRUX] iter 127 (epoch 6, iter 7): comm=431.7ms, bw=19.90 Gbps [contested]
[Job1-CRUX] iter 128 (epoch 6, iter 8): comm=435.4ms, bw=19.73 Gbps [contested]
[Job1-CRUX] iter 129 (epoch 6, iter 9): comm=449.5ms, bw=19.11 Gbps [contested]
[Job1-CRUX] iter 130 (epoch 6, iter 10): comm=427.8ms, bw=20.08 Gbps [contested]
[Job1-CRUX] iter 131 (epoch 6, iter 11): comm=431.9ms, bw=19.89 Gbps [contested]
[Job1-CRUX] iter 132 (epoch 6, iter 12): comm=414.1ms, bw=20.74 Gbps [contested]
[Job1-CRUX] iter 133 (epoch 6, iter 13): comm=463.8ms, bw=18.52 Gbps [contested]
[Job1-CRUX] iter 134 (epoch 6, iter 14): comm=435.8ms, bw=19.71 Gbps [contested]
[Job1-CRUX] iter 135 (epoch 6, iter 15): comm=416.1ms, bw=20.64 Gbps [contested]
[Job1-CRUX] iter 136 (epoch 6, iter 16): comm=440.8ms, bw=19.49 Gbps [contested]
