iter,epoch,comm_dur_s,bw_gbps,phase
210,10,0.864458,19.8736,contested
211,10,0.849973,20.2123,contested
212,10,0.843079,20.3775,contested
213,10,0.860201,19.9719,contested
214,10,0.858011,20.0229,contested
215,10,0.841291,20.4208,contested
216,10,0.860993,19.9535,contested
217,10,0.841936,20.4052,contested
218,10,0.854111,20.1143,contested
219,10,0.850682,20.1954,contested
220,11,0.853956,20.118,contested
221,11,0.844545,20.3422,contested
222,11,0.857964,20.024,contested
223,11,0.870383,19.7383,contested
224,11,0.851844,20.1679,contested
225,11,0.849581,20.2216,contested
226,11,0.859171,19.9959,contested
227,11,0.864335,19.8764,contested
228,11,0.858023,20.0226,contested
229,11,0.85343,20.1304,contested
230,11,0.848358,20.2507,contested
231,11,0.859041,19.9989,contested
232,11,0.848418,20.2493,contested
233,11,0.853001,20.1405,contested
234,11,0.860465,19.9658,contested
235,11,0.849802,20.2163,contested
236,11,0.853715,20.1237,contested
237,11,0.863979,19.8846,contested
238,11,0.860373,19.9679,contested
239,11,0.858019,20.0227,contested
240,12,0.847547,20.2701,contested
241,12,0.854517,20.1048,contested
242,12,0.860083,19.9747,contested
243,12,0.84746,20.2722,contested
244,12,0.847086,20.2811,contested
245,12,0.8503,20.2045,contested
246,12,0.851472,20.1767,contested
247,12,0.845314,20.3237,contested
248,12,0.850114,20.2089,contested
249,12,0.857218,20.0414,contested
250,12,0.8584,20.0138,contested
251,12,0.87845,19.557,contested
252,12,0.849954,20.2127,contested
253,12,0.861909,19.9324,contested
254,12,0.865541,19.8487,contested
255,12,0.860102,19.9742,contested
256,12,0.859134,19.9967,contested
257,12,0.848464,20.2482,contested
258,12,0.855549,20.0805,contested
259,12,0.886562,19.3781,contested
260,13,0.857085,20.0445,contested
261,13,0.845978,20.3077,contested
262,13,0.871751,19.7073,contested
263,13,0.862946,19.9084,contested
264,13,0.869695,19.7539,contested
265,13,0.855586,20.0797,contested
266,13,0.852356,20.1557,contested
267,13,0.865378,19.8525,contested
268,13,0.857122,20.0437,contested
269,13,0.84456,20.3418,contested
270,13,0.843601,20.3649,contested
271,13,0.859415,19.9902,contested
272,13,0.845268,20.3248,contested
273,13,0.84848,20.2478,contested
274,13,0.860401,19.9673,contested
275,13,0.892445,19.2503,contested
276,13,0.871307,19.7174,contested
277,13,0.845595,20.3169,contested
278,13,0.857963,20.024,contested
279,13,0.849307,20.2281,contested
280,14,0.861127,19.9504,contested
281,14,0.845954,20.3083,contested
282,14,0.853408,20.1309,contested
283,14,0.852834,20.1445,contested
284,14,0.910156,18.8757,contested
285,14,0.863246,19.9015,contested
286,14,0.852485,20.1527,contested
287,14,0.85902,19.9994,contested
288,14,0.867045,19.8143,contested
289,14,0.852702,20.1476,contested
290,14,0.86146,19.9427,contested
291,14,0.856149,20.0664,contested
292,14,0.854179,20.1127,contested
293,14,0.855491,20.0819,contested
294,14,0.851316,20.1804,contested
295,14,0.86054,19.964,contested
296,14,0.851016,20.1875,contested
297,14,0.847638,20.2679,contested
298,14,0.857805,20.0277,contested
299,14,0.857687,20.0305,contested
