iter,epoch,payload_mb,sleep_us,comm_dur_s,bw_gbps,phase
194,9,2048,30000,0.54054,15.8914,phase2
195,9,2048,30000,0.491927,17.4618,phase2
196,9,2048,30000,0.514425,16.6981,phase2
197,9,2048,30000,0.519329,16.5405,phase2
198,9,2048,30000,0.514581,16.6931,phase2
199,9,2048,30000,0.530616,16.1886,phase2
200,10,2048,30000,0.549883,15.6214,phase2
201,10,2048,30000,0.513721,16.721,phase2
202,10,2048,30000,0.518562,16.5649,phase2
203,10,2048,30000,0.541208,15.8718,phase2
204,10,2048,30000,0.535779,16.0326,phase2
205,10,2048,30000,0.523683,16.4029,phase2
206,10,2048,30000,0.514165,16.7066,phase2
207,10,2048,30000,0.536289,16.0174,phase2
208,10,2048,30000,0.513139,16.74,phase2
209,10,2048,30000,0.536904,15.999,phase2
210,10,2048,30000,0.511448,16.7953,phase2
211,10,2048,30000,0.530494,16.1923,phase2
212,10,2048,30000,0.527136,16.2955,phase2
213,10,2048,30000,0.518367,16.5712,phase2
214,10,2048,30000,0.52071,16.4966,phase2
215,10,2048,30000,0.527287,16.2908,phase2
216,10,2048,30000,0.529347,16.2274,phase2
217,10,2048,30000,0.504219,17.0361,phase2
218,10,2048,30000,0.475258,18.0742,phase2
219,10,2048,30000,0.505189,17.0034,phase2
220,11,2048,30000,0.50775,16.9176,phase2
221,11,2048,30000,0.508817,16.8822,phase2
222,11,2048,30000,0.509327,16.8653,phase2
223,11,2048,30000,0.498095,17.2456,phase2
224,11,2048,30000,0.491706,17.4697,phase2
225,11,2048,30000,0.533127,16.1124,phase2
226,11,2048,30000,0.576838,14.8914,phase2
227,11,2048,30000,0.572052,15.016,phase2
228,11,2048,30000,0.596148,14.4091,phase2
229,11,2048,30000,0.578653,14.8447,phase2
230,11,2048,30000,0.583264,14.7274,phase2
231,11,2048,30000,0.554455,15.4926,phase2
232,11,2048,30000,0.582819,14.7386,phase2
233,11,2048,30000,0.566382,15.1663,phase2
234,11,2048,30000,0.588716,14.591,phase2
235,11,2048,30000,0.388612,22.1041,phase2
236,11,2048,30000,0.266502,32.2322,phase2
237,11,2048,30000,0.279471,30.7364,phase2
238,11,2048,30000,0.267426,32.1208,phase2
239,11,2048,30000,0.266301,32.2565,phase2
240,12,2048,30000,0.259954,33.044,phase2
241,12,2048,30000,0.266598,32.2205,phase2
242,12,2048,30000,0.271452,31.6444,phase2
243,12,2048,30000,0.267083,32.162,phase2
244,12,2048,30000,0.256754,33.4559,phase2
245,12,2048,30000,0.266008,32.292,phase2
246,12,2048,30000,0.266071,32.2844,phase2
247,12,2048,30000,0.262363,32.7406,phase2
248,12,2048,30000,0.264851,32.4331,phase2
249,12,2048,30000,0.257423,33.369,phase2
250,12,2048,30000,0.273685,31.3863,phase2
251,12,2048,30000,0.257464,33.3636,phase2
252,12,2048,30000,0.262134,32.7693,phase2
253,12,2048,30000,0.253138,33.9338,phase2
254,12,2048,30000,0.270007,31.8137,phase2
255,12,2048,30000,0.263106,32.6482,phase2
256,12,2048,30000,0.28246,30.4111,phase2
257,12,2048,30000,0.260601,32.962,phase2
258,12,2048,30000,0.266037,32.2885,phase2
259,12,2048,30000,0.278276,30.8684,phase2
260,13,2048,30000,0.259111,33.1516,phase2
261,13,2048,30000,0.264581,32.4662,phase2
262,13,2048,30000,0.277001,31.0105,phase2
263,13,2048,30000,0.25523,33.6557,phase2
264,13,2048,30000,0.255365,33.6378,phase2
265,13,2048,30000,0.272991,31.466,phase2
266,13,2048,30000,0.261429,32.8576,phase2
267,13,2048,30000,0.270931,31.7052,phase2
268,13,2048,30000,0.261495,32.8493,phase2
269,13,2048,30000,0.256879,33.4396,phase2
270,13,2048,30000,0.274334,31.3119,phase2
271,13,2048,30000,0.259183,33.1423,phase2
272,13,2048,30000,0.257884,33.3093,phase2
273,13,2048,30000,0.262094,32.7743,phase2
274,13,2048,30000,0.278141,30.8833,phase2
275,13,2048,30000,0.275651,31.1623,phase2
276,13,2048,30000,0.272514,31.521,phase2
277,13,2048,30000,0.257783,33.3224,phase2
278,13,2048,30000,0.270178,31.7936,phase2
279,13,2048,30000,0.273003,31.4646,phase2
280,14,2048,30000,0.27017,31.7946,phase2
281,14,2048,30000,0.265024,32.4119,phase2
282,14,2048,30000,0.265772,32.3207,phase2
283,14,2048,30000,0.280253,30.6507,phase2
