regime,scenario,arm,round,job_id,label,tier,c_policy,c_eval,slowdown_mean,slowdown_std,attainment_mean,slo_met_frac,comm_slowdown_v1,slowdown_lt1
S1_deep,S1,fair,4,0,J0_P_L,premium,1.35,1.5,1.1774,0.0929,0.7849,1.000,1.6643,N
S1_deep,S1,fair,4,1,J1_P_M,premium,1.35,1.5,1.3089,0.0647,0.8726,1.000,2.1570,N
S1_deep,S1,fair,4,2,J2_S_M,standard,2.0,2.0,1.1457,0.0404,0.5729,1.000,1.6254,N
S1_deep,S1,fair,4,3,J3_S_S,standard,2.0,2.0,1.1192,0.0259,0.5596,1.000,1.6514,N
S1_deep,S1,fair,4,4,J4_S_XS,standard,2.0,2.0,1.0905,0.0205,0.5452,1.000,1.6032,N
S1_deep,S1,fair,5,0,J0_P_L,premium,1.35,1.5,1.2474,0.1162,0.8316,1.000,1.9265,N
S1_deep,S1,fair,5,1,J1_P_M,premium,1.35,1.5,1.3511,0.0662,0.9007,1.000,2.3148,N
S1_deep,S1,fair,5,2,J2_S_M,standard,2.0,2.0,1.1282,0.0376,0.5641,1.000,1.5503,N
S1_deep,S1,fair,5,3,J3_S_S,standard,2.0,2.0,1.1258,0.0210,0.5629,1.000,1.6872,N
S1_deep,S1,fair,5,4,J4_S_XS,standard,2.0,2.0,1.0940,0.0092,0.5470,1.000,1.6268,N
S1_deep,S1,longliu,1,0,J0_P_L,premium,1.35,1.5,1.3436,0.1985,0.8958,0.663,2.2870,N
S1_deep,S1,longliu,1,1,J1_P_M,premium,1.35,1.5,1.3775,0.1179,0.9183,0.911,2.4138,N
S1_deep,S1,longliu,1,2,J2_S_M,standard,2.0,2.0,0.9823,0.0284,0.4912,1.000,0.9242,Y
S1_deep,S1,longliu,1,3,J3_S_S,standard,2.0,2.0,0.9978,0.0265,0.4989,1.000,0.9880,Y
S1_deep,S1,longliu,1,4,J4_S_XS,standard,2.0,2.0,1.2463,0.0368,0.6232,1.000,2.6423,N
S1_deep,S1,longliu,2,0,J0_P_L,premium,1.35,1.5,1.3572,0.2172,0.9048,0.511,2.3379,N
S1_deep,S1,longliu,2,1,J1_P_M,premium,1.35,1.5,1.4133,0.1491,0.9422,0.695,2.5478,N
S1_deep,S1,longliu,2,2,J2_S_M,standard,2.0,2.0,0.9775,0.0208,0.4888,1.000,0.9036,Y
S1_deep,S1,longliu,2,3,J3_S_S,standard,2.0,2.0,0.9999,0.0202,0.4999,1.000,0.9994,Y
S1_deep,S1,longliu,2,4,J4_S_XS,standard,2.0,2.0,1.2164,0.0538,0.6082,1.000,2.4426,N
S1_deep,S1,longliu,3,0,J0_P_L,premium,1.35,1.5,1.3437,0.2555,0.8958,0.579,2.2874,N
S1_deep,S1,longliu,3,1,J1_P_M,premium,1.35,1.5,1.0766,0.0594,0.7177,0.995,1.2867,N
S1_deep,S1,longliu,3,2,J2_S_M,standard,2.0,2.0,0.9507,0.0321,0.4754,1.000,0.7886,Y
S1_deep,S1,longliu,3,3,J3_S_S,standard,2.0,2.0,0.9642,0.0293,0.4821,1.000,0.8043,Y
S1_deep,S1,longliu,3,4,J4_S_XS,standard,2.0,2.0,1.1961,0.0530,0.5980,1.000,2.3072,N
S1_deep,S1,longliu,4,0,J0_P_L,premium,1.35,1.5,1.3498,0.2461,0.8999,0.537,2.3101,N
S1_deep,S1,longliu,4,1,J1_P_M,premium,1.35,1.5,1.1174,0.0296,0.7449,1.000,1.4397,N
S1_deep,S1,longliu,4,2,J2_S_M,standard,2.0,2.0,0.9980,0.0458,0.4990,1.000,0.9912,Y
S1_deep,S1,longliu,4,3,J3_S_S,standard,2.0,2.0,0.9701,0.0520,0.4851,1.000,0.8367,Y
S1_deep,S1,longliu,4,4,J4_S_XS,standard,2.0,2.0,1.2629,0.0401,0.6314,1.000,2.7524,N
S1_deep,S1,longliu,5,0,J0_P_L,premium,1.35,1.5,1.0502,0.0393,0.7001,1.000,1.1881,N
S1_deep,S1,longliu,5,1,J1_P_M,premium,1.35,1.5,1.4210,0.1212,0.9473,0.916,2.5768,N
S1_deep,S1,longliu,5,2,J2_S_M,standard,2.0,2.0,1.0069,0.0545,0.5035,1.000,1.0297,N
S1_deep,S1,longliu,5,3,J3_S_S,standard,2.0,2.0,1.2731,0.0685,0.6366,1.000,2.4925,N
