time_s,mean,std,seed0,seed1,seed2,seed3,seed4
292.00,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
292.25,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
292.50,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
292.75,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
293.00,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
293.25,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
293.50,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
293.75,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
294.00,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
294.25,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
294.50,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
294.75,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
295.00,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
295.25,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
295.50,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
295.75,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
296.00,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
296.25,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
296.50,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
296.75,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
297.00,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
297.25,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
297.50,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
297.75,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
298.00,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
298.25,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
298.50,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
298.75,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
299.00,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
299.25,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
299.50,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
299.75,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
300.00,0.360000,0.195959,0.200000,0.200000,0.600000,0.200000,0.600000
300.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
300.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
300.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
301.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
301.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
301.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
301.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
302.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
302.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
302.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
302.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
303.00,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
303.25,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
303.50,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
303.75,0.075000,0.100000,0.000000,0.250000,0.125000,0.000000,0.000000
