scene,spine_bw,policy,n_seeds,seeds,p_attn_mean,p_attn_std,p_cap_mean,s_cont_cap_mean,p_attn_s0,p_attn_s1,p_attn_s2,p_attn_s3,p_attn_s4,p_attn_s5,p_attn_s6,p_attn_s7,p_attn_s8,p_attn_s9
E1,630,CASSINI,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.5375,0.1324,0.8784,0.6795,0.6250,0.5000,0.5000,0.3750,0.6250,0.3750,0.6250,0.7500,0.6250,0.3750
E1,630,CRUX,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8250,0.1972,0.9414,0.9115,0.8750,1.0000,0.3750,1.0000,0.6250,0.8750,0.8750,1.0000,0.8750,0.7500
E1,630,DF,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9000,0.1845,0.9651,0.9621,1.0000,1.0000,0.5000,1.0000,0.6250,1.0000,1.0000,1.0000,0.8750,1.0000
E1,630,Fair,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9125,0.1186,0.9590,0.9213,0.8750,1.0000,0.8750,1.0000,0.6250,1.0000,1.0000,1.0000,0.8750,0.8750
E1,630,LL-S,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8875,0.1608,0.9591,0.9651,1.0000,1.0000,0.6250,1.0000,0.6250,0.8750,1.0000,1.0000,0.7500,1.0000
E1,630,LongLiu,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9625,0.0604,0.9741,0.9823,1.0000,1.0000,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,0.8750
E1,630,SRPT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.8750,0.1179,0.9573,0.9210,0.7500,0.8750,0.7500,1.0000,0.7500,1.0000,1.0000,1.0000,0.7500,0.8750
E1,800,CASSINI,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6750,0.1344,0.8996,0.7177,0.7500,0.6250,0.8750,0.5000,0.6250,0.5000,0.6250,0.8750,0.7500,0.6250
E1,800,CRUX,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9000,0.1537,0.9592,0.9524,1.0000,1.0000,0.6250,1.0000,0.6250,1.0000,1.0000,1.0000,0.8750,0.8750
E1,800,DF,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9750,0.0527,0.9750,0.9833,1.0000,1.0000,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
E1,800,Fair,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9250,0.1208,0.9672,0.9739,1.0000,1.0000,0.8750,1.0000,0.6250,1.0000,1.0000,1.0000,0.8750,0.8750
E1,800,LL-S,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9250,0.1344,0.9681,0.9712,1.0000,1.0000,0.7500,1.0000,0.6250,1.0000,1.0000,1.0000,0.8750,1.0000
E1,800,LongLiu,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9750,0.0527,0.9750,0.9833,1.0000,1.0000,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
E1,800,SRPT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9500,0.0645,0.9726,0.9731,1.0000,1.0000,0.8750,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,0.8750
E1,1000,CASSINI,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6875,0.1350,0.9081,0.7350,0.7500,0.6250,0.8750,0.5000,0.7500,0.5000,0.6250,0.8750,0.7500,0.6250
E1,1000,CRUX,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9375,0.1215,0.9688,0.9709,1.0000,1.0000,0.6250,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
E1,1000,DF,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9750,0.0527,0.9750,0.9833,1.0000,1.0000,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
E1,1000,Fair,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9625,0.0604,0.9715,0.9793,1.0000,1.0000,0.8750,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
E1,1000,LL-S,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9625,0.0604,0.9729,0.9787,1.0000,1.0000,0.8750,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
E1,1000,LongLiu,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9750,0.0527,0.9750,0.9833,1.0000,1.0000,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
E1,1000,SRPT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9750,0.0527,0.9750,0.9832,1.0000,1.0000,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
E1,1200,CASSINI,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.6875,0.1350,0.9130,0.7448,0.7500,0.6250,0.8750,0.5000,0.7500,0.5000,0.6250,0.8750,0.7500,0.6250
E1,1200,CRUX,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9625,0.0604,0.9720,0.9774,1.0000,1.0000,0.8750,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
E1,1200,DF,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9750,0.0527,0.9750,0.9833,1.0000,1.0000,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
E1,1200,Fair,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9625,0.0604,0.9725,0.9808,1.0000,1.0000,0.8750,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
E1,1200,LL-S,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9625,0.0604,0.9743,0.9807,1.0000,1.0000,0.8750,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
E1,1200,LongLiu,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9750,0.0527,0.9750,0.9833,1.0000,1.0000,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
E1,1200,SRPT,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",0.9750,0.0527,0.9750,0.9833,1.0000,1.0000,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,0.8750,1.0000
