iter,epoch,payload_mb,sleep_us,comm_dur_s,bw_gbps,phase
162,8,2048,30000,0.632878,13.5728,phase2
163,8,2048,30000,0.62231,13.8033,phase2
164,8,2048,30000,0.623694,13.7727,phase2
165,8,2048,30000,0.611359,14.0506,phase2
166,8,2048,30000,0.644108,13.3362,phase2
167,8,2048,30000,0.605274,14.1918,phase2
168,8,2048,30000,0.59246,14.4987,phase2
169,8,2048,30000,0.638391,13.4556,phase2
170,8,2048,30000,0.631174,13.6095,phase2
171,8,2048,30000,0.623715,13.7722,phase2
172,8,2048,30000,0.615397,13.9584,phase2
173,8,2048,30000,0.647478,13.2668,phase2
174,8,2048,30000,0.621594,13.8192,phase2
175,8,2048,30000,0.623981,13.7663,phase2
176,8,2048,30000,0.631799,13.596,phase2
177,8,2048,30000,0.618813,13.8813,phase2
178,8,2048,30000,0.634966,13.5282,phase2
179,8,2048,30000,0.614789,13.9722,phase2
180,9,2048,30000,0.63618,13.5024,phase2
181,9,2048,30000,0.621488,13.8216,phase2
182,9,2048,30000,0.64092,13.4025,phase2
183,9,2048,30000,0.614094,13.988,phase2
184,9,2048,30000,0.632716,13.5763,phase2
185,9,2048,30000,0.63476,13.5326,phase2
186,9,2048,30000,0.611032,14.0581,phase2
187,9,2048,30000,0.644231,13.3336,phase2
188,9,2048,30000,0.638955,13.4437,phase2
189,9,2048,30000,0.644837,13.3211,phase2
190,9,2048,30000,0.616737,13.928,phase2
191,9,2048,30000,0.591208,14.5295,phase2
192,9,2048,30000,0.596773,14.394,phase2
193,9,2048,30000,0.56881,15.1016,phase2
194,9,2048,30000,0.581496,14.7721,phase2
195,9,2048,30000,0.591907,14.5123,phase2
196,9,2048,30000,0.576691,14.8952,phase2
197,9,2048,30000,0.549785,15.6242,phase2
198,9,2048,30000,0.59532,14.4291,phase2
199,9,2048,30000,0.580915,14.7869,phase2
200,10,2048,30000,0.55338,15.5227,phase2
201,10,2048,30000,0.576363,14.9037,phase2
202,10,2048,30000,0.56124,15.3053,phase2
203,10,2048,30000,0.587095,14.6312,phase2
204,10,2048,30000,0.583572,14.7196,phase2
205,10,2048,30000,0.586438,14.6476,phase2
206,10,2048,30000,0.583595,14.719,phase2
207,10,2048,30000,0.48991,17.5337,phase2
208,10,2048,30000,0.256196,33.5288,phase2
209,10,2048,30000,0.267318,32.1337,phase2
210,10,2048,30000,0.27299,31.4661,phase2
211,10,2048,30000,0.282303,30.4281,phase2
212,10,2048,30000,0.267475,32.1149,phase2
213,10,2048,30000,0.27071,31.7311,phase2
214,10,2048,30000,0.256776,33.453,phase2
215,10,2048,30000,0.257183,33.4001,phase2
216,10,2048,30000,0.262438,32.7312,phase2
217,10,2048,30000,0.26668,32.2106,phase2
218,10,2048,30000,0.271437,31.6461,phase2
219,10,2048,30000,0.265622,32.3389,phase2
220,11,2048,30000,0.265523,32.3511,phase2
221,11,2048,30000,0.266344,32.2513,phase2
222,11,2048,30000,0.255811,33.5792,phase2
223,11,2048,30000,0.268627,31.9772,phase2
224,11,2048,30000,0.290275,29.5924,phase2
225,11,2048,30000,0.270717,31.7303,phase2
226,11,2048,30000,0.264639,32.459,phase2
227,11,2048,30000,0.268603,31.98,phase2
228,11,2048,30000,0.264735,32.4472,phase2
229,11,2048,30000,0.280195,30.657,phase2
230,11,2048,30000,0.271806,31.6032,phase2
231,11,2048,30000,0.268067,32.044,phase2
232,11,2048,30000,0.272365,31.5383,phase2
233,11,2048,30000,0.258262,33.2606,phase2
234,11,2048,30000,0.252607,34.0052,phase2
235,11,2048,30000,0.260051,33.0318,phase2
236,11,2048,30000,0.261102,32.8988,phase2
237,11,2048,30000,0.26337,32.6154,phase2
238,11,2048,30000,0.270722,31.7298,phase2
239,11,2048,30000,0.266394,32.2452,phase2
240,12,2048,30000,0.269469,31.8773,phase2
241,12,2048,30000,0.26021,33.0115,phase2
242,12,2048,30000,0.266017,32.2909,phase2
243,12,2048,30000,0.272326,31.5429,phase2
244,12,2048,30000,0.26996,31.8192,phase2
245,12,2048,30000,0.276059,31.1163,phase2
246,12,2048,30000,0.273907,31.3608,phase2
247,12,2048,30000,0.258247,33.2625,phase2
248,12,2048,30000,0.267391,32.125,phase2
249,12,2048,30000,0.264245,32.5075,phase2
250,12,2048,30000,0.258602,33.2168,phase2
251,12,2048,30000,0.271231,31.6701,phase2
252,12,2048,30000,0.26226,32.7536,phase2
253,12,2048,30000,0.260791,32.938,phase2
254,12,2048,30000,0.263268,32.6281,phase2
255,12,2048,30000,0.264128,32.5218,phase2
256,12,2048,30000,0.272242,31.5526,phase2
257,12,2048,30000,0.261705,32.823,phase2
258,12,2048,30000,0.26136,32.8664,phase2
259,12,2048,30000,0.26992,31.824,phase2
260,13,2048,30000,0.268254,32.0216,phase2
261,13,2048,30000,0.269939,31.8217,phase2
262,13,2048,30000,0.260766,32.9411,phase2
263,13,2048,30000,0.261127,32.8956,phase2
264,13,2048,30000,0.266964,32.1764,phase2
265,13,2048,30000,0.276808,31.0321,phase2
266,13,2048,30000,0.278404,30.8542,phase2
267,13,2048,30000,0.264584,32.4658,phase2
268,13,2048,30000,0.270356,31.7726,phase2
269,13,2048,30000,0.26546,32.3586,phase2
270,13,2048,30000,0.260745,32.9438,phase2
271,13,2048,30000,0.267399,32.1241,phase2
272,13,2048,30000,0.261621,32.8335,phase2
273,13,2048,30000,0.269204,31.9087,phase2
274,13,2048,30000,0.258146,33.2754,phase2
275,13,2048,30000,0.265359,32.371,phase2
276,13,2048,30000,0.272814,31.4864,phase2
277,13,2048,30000,0.266764,32.2005,phase2
278,13,2048,30000,0.271466,31.6427,phase2
279,13,2048,30000,0.261324,32.8708,phase2
280,14,2048,30000,0.259984,33.0402,phase2
281,14,2048,30000,0.260553,32.9682,phase2
282,14,2048,30000,0.260983,32.9138,phase2
283,14,2048,30000,0.260483,32.977,phase2
284,14,2048,30000,0.27637,31.0813,phase2
285,14,2048,30000,0.276783,31.0349,phase2
286,14,2048,30000,0.277807,30.9206,phase2
287,14,2048,30000,0.266071,32.2844,phase2
288,14,2048,30000,0.258394,33.2436,phase2
289,14,2048,30000,0.258056,33.2871,phase2
290,14,2048,30000,0.265677,32.3323,phase2
291,14,2048,30000,0.274901,31.2474,phase2
292,14,2048,30000,0.264145,32.5198,phase2
293,14,2048,30000,0.263973,32.5409,phase2
294,14,2048,30000,0.262146,32.7677,phase2
295,14,2048,30000,0.268941,31.9398,phase2
296,14,2048,30000,0.258593,33.218,phase2
297,14,2048,30000,0.270259,31.7841,phase2
298,14,2048,30000,0.26641,32.2433,phase2
299,14,2048,30000,0.265926,32.302,phase2
