iter,window,comm_dur_s,bw_gbps,phase
58,2,1.734912,4.9512,contested
59,2,1.782398,4.8193,contested
60,3,1.677846,5.1196,contested
61,3,1.685891,5.0952,contested
62,3,1.695989,5.0649,contested
63,3,1.700098,5.0526,contested
64,3,1.68163,5.1081,contested
65,3,1.686911,5.0921,contested
66,3,1.682008,5.107,contested
67,3,1.691473,5.0784,contested
68,3,1.682523,5.1054,contested
69,3,1.665129,5.1587,contested
70,3,1.686556,5.0932,contested
71,3,1.707743,5.03,contested
72,3,1.683107,5.1036,contested
73,3,1.685224,5.0972,contested
74,3,1.67805,5.119,contested
75,3,1.721537,4.9897,contested
76,3,1.679536,5.1145,contested
77,3,1.711857,5.0179,contested
78,3,1.708276,5.0284,contested
79,3,1.716495,5.0043,contested
80,4,1.704128,5.0407,contested
81,4,1.708196,5.0287,contested
82,4,1.69675,5.0626,contested
83,4,1.682897,5.1043,contested
84,4,1.696321,5.0639,contested
85,4,1.664951,5.1593,contested
86,4,1.688112,5.0885,contested
87,4,1.751305,4.9049,contested
88,4,1.712657,5.0156,contested
89,4,1.68295,5.1041,contested
90,4,1.69062,5.0809,contested
91,4,1.846731,4.6514,contested
92,4,1.694625,5.0689,contested
93,4,1.712795,5.0152,contested
94,4,1.639351,5.2398,contested
95,4,1.729307,4.9673,contested
96,4,1.72954,4.9666,contested
97,4,1.690428,5.0815,contested
98,4,1.717061,5.0027,contested
99,4,1.700615,5.0511,contested
100,5,1.707721,5.0301,contested
101,5,1.697869,5.0592,contested
102,5,1.750982,4.9058,contested
103,5,1.709353,5.0253,contested
104,5,1.720925,4.9915,contested
105,5,1.721372,4.9902,contested
106,5,1.752702,4.901,contested
107,5,1.718851,4.9975,contested
108,5,1.707997,5.0292,contested
109,5,1.716133,5.0054,contested
110,5,1.712825,5.0151,contested
111,5,1.760721,4.8786,contested
112,5,1.794518,4.7868,contested
113,5,1.703929,5.0413,contested
114,5,1.712047,5.0173,contested
115,5,1.756519,4.8903,contested
116,5,1.727971,4.9711,contested
117,5,1.700186,5.0524,contested
118,5,1.696877,5.0622,contested
119,5,1.726672,4.9748,contested
120,6,1.66902,5.1467,contested
121,6,1.700414,5.0517,contested
122,6,1.704423,5.0398,contested
123,6,1.708037,5.0291,contested
124,6,1.712976,5.0146,contested
125,6,1.807695,4.7519,contested
126,6,1.686133,5.0945,contested
127,6,1.695802,5.0654,contested
128,6,1.764487,4.8682,contested
129,6,1.716409,5.0046,contested
130,6,1.747487,4.9156,contested
131,6,1.751461,4.9044,contested
132,6,1.668405,5.1486,contested
133,6,1.671322,5.1396,contested
134,6,1.725713,4.9776,contested
135,6,1.660714,5.1724,contested
136,6,1.730325,4.9643,contested
137,6,1.738247,4.9417,contested
138,6,1.699265,5.0551,contested
139,6,1.68262,5.1051,contested
140,7,1.69216,5.0763,contested
141,7,1.699119,5.0555,contested
142,7,1.728478,4.9697,contested
143,7,1.765387,4.8658,contested
144,7,1.841833,4.6638,contested
145,7,1.717173,5.0024,contested
146,7,1.695013,5.0678,contested
147,7,1.752374,4.9019,contested
148,7,1.692304,5.0759,contested
149,7,1.70813,5.0289,contested
150,7,1.795097,4.7852,contested
151,7,1.713554,5.0129,contested
152,7,1.686454,5.0935,contested
153,7,1.703657,5.0421,contested
154,7,1.718687,4.998,contested
155,7,1.703386,5.0429,contested
156,7,1.712265,5.0167,contested
157,7,1.734028,4.9537,contested
158,7,1.705321,5.0371,contested
159,7,1.699509,5.0544,contested
160,8,1.751225,4.9051,contested
161,8,1.695642,5.0659,contested
162,8,1.68721,5.0912,contested
163,8,1.726702,4.9748,contested
164,8,1.713947,5.0118,contested
165,8,1.734426,4.9526,contested
166,8,1.708246,5.0285,contested
167,8,1.752124,4.9026,contested
168,8,1.714208,5.011,contested
169,8,1.691509,5.0783,contested
170,8,1.690726,5.0806,contested
171,8,1.729651,4.9663,contested
172,8,1.742488,4.9297,contested
173,8,1.696178,5.0643,contested
174,8,1.681836,5.1075,contested
175,8,1.668978,5.1468,contested
176,8,1.69915,5.0554,contested
177,8,1.720853,4.9917,contested
178,8,1.678442,5.1178,contested
179,8,1.656253,5.1864,contested
180,9,1.694843,5.0683,contested
181,9,1.625713,5.2838,contested
182,9,1.688649,5.0869,contested
183,9,1.69977,5.0536,contested
184,9,1.640457,5.2363,contested
185,9,1.694543,5.0692,contested
186,9,1.733435,4.9554,contested
187,9,1.721232,4.9906,contested
188,9,1.681882,5.1073,contested
189,9,1.690724,5.0806,contested
190,9,1.71691,5.0031,contested
191,9,1.755478,4.8932,contested
192,9,1.691454,5.0784,contested
193,9,1.660548,5.173,contested
194,9,1.682451,5.1056,contested
195,9,1.720443,4.9929,contested
196,9,1.695095,5.0675,contested
197,9,1.713612,5.0128,contested
198,9,1.723076,4.9852,contested
199,9,1.686446,5.0935,contested
